Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x,Binary Density,Slope,1.1301603806812568,0.0070440262972473605,1.1160368223335095,1.1438091405020758,alcohol_alcohol
h_mix_rho_x,Binary Density,Intercept,-0.11266579269166488,0.007117208279443945,-0.1265532844112628,-0.09883902106331277,alcohol_alcohol
h_mix_rho_x,Binary Density,R,0.9982798268222316,0.00046249531066217057,0.9971309264156629,0.998914829879541,alcohol_alcohol
h_mix_rho_x,Binary Density,R^2,0.9965626126402247,0.000923139011525569,0.9942700844145582,0.9978308373532725,alcohol_alcohol
h_mix_rho_x,Binary Density,p,7.297729557859284e-77,2.686060923819144e-66,5.994863580026001e-83,4.8288327907561014e-70,alcohol_alcohol
h_mix_rho_x,Binary Density,RMSE,0.020113310902855477,0.0016147169501713697,0.0168610805193879,0.02323673260733845,alcohol_alcohol
h_mix_rho_x,Binary Density,MSE,0.004266301727368523,0.0024945180239961343,-0.0005270840858575296,0.008936042745677901,alcohol_alcohol
h_mix_rho_x,Binary Density,MUE,0.01634925566769914,0.0014584905759630763,0.013504854977047018,0.019309768524580218,alcohol_alcohol
h_mix_rho_x,Binary Density,Tau,0.7368151561699948,0.07176871038592664,0.5732480118469003,0.8553244183420222,alcohol_alcohol
h_mix_rho_x,Binary Density,Slope,0.9522234192536109,0.06792741631974139,0.8749746533600538,1.1485946872797954,ester_ester
h_mix_rho_x,Binary Density,Intercept,0.04351372266765652,0.0633268467617999,-0.13359016319938288,0.1186055985673159,ester_ester
h_mix_rho_x,Binary Density,R,0.9737937024918668,0.005976068497945076,0.9622173610929238,0.9855494645714538,ester_ester
h_mix_rho_x,Binary Density,R^2,0.9482741750128184,0.01164520177682688,0.9258622499886301,0.9713077471170792,ester_ester
h_mix_rho_x,Binary Density,p,1.3509235415265881e-17,1.6240169113616284e-15,8.493397340851133e-21,1.2550974576945318e-15,ester_ester
h_mix_rho_x,Binary Density,RMSE,0.012546368643062045,0.001294209316468859,0.0101423958970622,0.015159788304427555,ester_ester
h_mix_rho_x,Binary Density,MSE,-0.0018292960058106141,0.0023828323321905065,-0.006349076104212499,0.002663226757113074,ester_ester
h_mix_rho_x,Binary Density,MUE,0.011114069268178754,0.0011312105572378092,0.009081384541546644,0.013499160420605325,ester_ester
h_mix_rho_x,Binary Density,Tau,0.8860398860398863,0.05697244687088649,0.7294701480064687,0.9539538729208266,ester_ester
h_mix_rho_x,Binary Density,Slope,1.142896912239708,0.10013034124800503,0.8976553590453136,1.180379482558957,alcohol > ester
h_mix_rho_x,Binary Density,Intercept,-0.13236932112787025,0.0842380202999367,-0.16776146910457657,0.07534881693041828,alcohol > ester
h_mix_rho_x,Binary Density,R,0.9945350573326712,0.034179118007569266,0.872610690998668,0.9994358179564155,alcohol > ester
h_mix_rho_x,Binary Density,R^2,0.9890999802636996,0.06247506263740191,0.7614494180451727,0.9988719542142092,alcohol > ester
h_mix_rho_x,Binary Density,p,3.876765818912322e-09,0.001526551626623031,5.13230255821704e-13,0.001020866580959721,alcohol > ester
h_mix_rho_x,Binary Density,RMSE,0.015245421971026228,0.0015777282140868793,0.01217589602591727,0.018328693696503154,alcohol > ester
h_mix_rho_x,Binary Density,MSE,-0.0083096514472497,0.004086096600174769,-0.015064840265614544,0.0008868212221569526,alcohol > ester
h_mix_rho_x,Binary Density,MUE,0.014421350563183045,0.0015675777139925486,0.011588357626736734,0.01761165629070103,alcohol > ester
h_mix_rho_x,Binary Density,Tau,0.8222222222222221,0.09758114405280365,0.565685424949238,0.9428090415820632,alcohol > ester
h_mix_rho_x,Binary Density,Slope,1.0813136692150354,0.06707096528962725,0.9528988366940361,1.1556616245026767,alcohol ~ ester
h_mix_rho_x,Binary Density,Intercept,-0.08092703489613451,0.05874720561357376,-0.14616725384921592,0.03520449923388691,alcohol ~ ester
h_mix_rho_x,Binary Density,R,0.9910093719190276,0.008021512220355676,0.9691736604286325,0.9990886105243205,alcohol ~ ester
h_mix_rho_x,Binary Density,R^2,0.9820995752313456,0.015659131079604073,0.9392975840686343,0.9981780516794174,alcohol ~ ester
h_mix_rho_x,Binary Density,p,2.8277756649254025e-08,2.772860019096258e-05,3.236152700733604e-12,3.8372192486245045e-06,alcohol ~ ester
h_mix_rho_x,Binary Density,RMSE,0.012460038637797075,0.0009986030078021823,0.010382424578948784,0.01436981103824799,alcohol ~ ester
h_mix_rho_x,Binary Density,MSE,-0.007951513263416199,0.0029630776313054833,-0.013295134062889569,-0.001747707625201944,alcohol ~ ester
h_mix_rho_x,Binary Density,MUE,0.012057568327798219,0.0009987314708515983,0.01005362807300556,0.014042078687176962,alcohol ~ ester
h_mix_rho_x,Binary Density,Tau,0.9999999999999999,0.027017538995091683,0.8819171036881969,0.9775252199076787,alcohol ~ ester
h_mix_rho_x,Binary Density,Slope,1.033792550519335,0.05898741699917561,0.9566737754651552,1.1930216331945427,alcohol < ester
