Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment,Iteration
h_mix_rho_x,Binary Density,Slope,0.9399634534559104,0.0974555038968056,0.7635496499072989,1.1392584364445648,alcohol > ester,0
h_mix_rho_x,Binary Density,Intercept,0.07302347601090908,0.08593895271815039,-0.10532851258702414,0.22691971987255832,alcohol > ester,0
h_mix_rho_x,Binary Density,R,0.9682657336862172,0.022210593517124153,0.9122377266787757,0.9955881581684369,alcohol > ester,0
h_mix_rho_x,Binary Density,R^2,0.9375385310309085,0.041766954847339104,0.8321776699760606,0.9911957806852206,alcohol > ester,0
h_mix_rho_x,Binary Density,p,4.2702824671852135e-06,0.0005389404229067614,1.8709778065629534e-09,0.0002339458789337708,alcohol > ester,0
h_mix_rho_x,Binary Density,RMSE,0.02410615139440154,0.0036785020216056376,0.016954891232771357,0.03080322556319591,alcohol > ester,0
h_mix_rho_x,Binary Density,MSE,0.021551535411933997,0.003428046978909939,0.015127353591053183,0.028245694892070416,alcohol > ester,0
h_mix_rho_x,Binary Density,MUE,0.021551535411933997,0.003428046978909939,0.015127353591053183,0.028245694892070416,alcohol > ester,0
h_mix_rho_x,Binary Density,Tau,0.8222222222222221,0.12989367538204186,0.4656359273260782,0.9545214042184235,alcohol > ester,0
h_mix_rho_x,Binary Density,Slope,0.9439723088423154,0.06553125301286383,0.8013338993959245,1.047082229021105,alcohol ~ ester,0
h_mix_rho_x,Binary Density,Intercept,0.08297752863025298,0.06251313058292761,-0.01680861153394253,0.2196790342336149,alcohol ~ ester,0
h_mix_rho_x,Binary Density,R,0.9864542346129811,0.00796708288445124,0.9705788426452854,0.9991574139894633,alcohol ~ ester,0
h_mix_rho_x,Binary Density,R^2,0.9730919569858824,0.015661992319967746,0.9420232897906616,0.9983155379301119,alcohol ~ ester,0
h_mix_rho_x,Binary Density,p,1.4491563717861652e-07,3.649214487007253e-06,2.252920611718416e-12,3.243024536780768e-06,alcohol ~ ester,0
h_mix_rho_x,Binary Density,RMSE,0.033001324052389994,0.003441893837591397,0.026740931711755764,0.039513684705185646,alcohol ~ ester,0
h_mix_rho_x,Binary Density,MSE,0.03160427208259272,0.0029549594841934645,0.026466772872955013,0.03753205725201222,alcohol ~ ester,0
h_mix_rho_x,Binary Density,MUE,0.03160427208259272,0.0029549594841934645,0.026466772872955013,0.03753205725201222,alcohol ~ ester,0
h_mix_rho_x,Binary Density,Tau,0.911111111111111,0.09380577578007689,0.6287460834286768,0.9660917830792959,alcohol ~ ester,0
